,Start,Duration,End
1134,168196,44,168240
1135,168267,185,168452
1136,168570,31,168601
1137,168811,40,168851
1138,168953,79,169032
1139,169071,44,169115
1140,169165,93,169258
1141,169402,138,169540
1142,169587,92,169679
1143,169685,47,169732
1144,169885,66,169951
1145,169966,152,170118
1146,170132,22,170154
1147,170193,123,170316
1148,170333,62,170395
1149,170461,37,170498
1150,170738,65,170803
1151,170864,69,170933
1152,170993,82,171075
1153,171613,75,171688
1154,171768,86,171854
1155,171896,68,171964
1156,171995,35,172030
1157,172052,18,172070
1158,172152,20,172172
1159,172226,36,172262
1160,172278,26,172304
1161,172341,49,172390
1162,172400,19,172419
1163,172438,3,172441
1164,172456,59,172515
1165,172519,33,172552
1166,172704,41,172745
1167,172785,67,172852
1168,173040,4,173044
1169,173228,36,173264
1170,173456,24,173480
1171,173677,96,173773
1172,173859,24,173883
1173,173898,57,173955
1174,174060,63,174123
1175,174250,24,174274
1176,174370,73,174443
1177,174459,61,174520
1178,174563,18,174581
1179,174635,4,174639
1180,174804,5,174809
1181,175020,12,175032
1182,175036,8,175044
1183,175250,42,175292
1184,175500,21,175521
1185,175735,43,175778
1186,175780,58,175838
1187,175919,56,175975
1188,176336,142,176478
1189,176485,125,176610
1190,176699,31,176730
1191,176811,42,176853
1192,176854,43,176897
1193,176921,7,176928
1194,177002,10,177012
1195,177194,70,177264
1196,177349,47,177396
1197,177496,71,177567
1198,177609,58,177667
1199,177862,59,177921
1200,178012,29,178041
1201,178083,48,178131
1202,178136,117,178253
1203,178301,13,178314
1204,178379,18,178397
1205,178406,44,178450
1206,178567,61,178628
1207,178707,44,178751
1208,178869,44,178913
1209,178967,189,179156
1210,179252,39,179291
1211,179296,58,179354
1212,179407,21,179428
1213,179520,95,179615
1214,179821,53,179874
1215,179954,15,179969
1216,180015,46,180061
1217,180095,48,180143
1218,180291,5,180296
1219,180331,14,180345
1220,180360,118,180478
1221,180559,23,180582
1222,180665,74,180739
1223,180745,70,180815
1224,180978,11,180989
1225,181012,141,181153
1226,181260,28,181288
1227,181334,20,181354
1228,181434,60,181494
1229,181498,16,181514
1230,181534,32,181566
1231,181843,51,181894
1232,182217,91,182308
1233,182359,10,182369
1234,182387,140,182527
1235,182536,7,182543
1236,182593,7,182600
1237,182646,18,182664
1238,182669,7,182676
1239,182771,10,182781
1240,183121,3,183124
1241,183151,59,183210
1242,183326,87,183413
1243,183641,286,183927
1244,183965,184,184149
1245,184290,4,184294
1246,184324,15,184339
1247,184808,90,184898
1248,185121,19,185140
1249,185225,241,185466
1250,185531,20,185551
1251,185606,5,185611
1252,185790,60,185850
1253,185881,7,185888
1254,185907,188,186095
1255,186280,45,186325
1256,186407,45,186452
1257,186472,37,186509
1258,186597,56,186653
1259,187082,6,187088
1260,187197,38,187235
1261,187332,4,187336
1262,187556,7,187563
1263,187670,87,187757
1264,187785,164,187949
1265,188038,114,188152
1266,188207,59,188266
1267,188379,105,188484
1268,188505,67,188572
1269,188629,114,188743
1270,189008,15,189023
1271,189079,50,189129
1272,189148,10,189158
1273,189314,77,189391
1274,189747,11,189758
1275,190009,66,190075
1276,190296,29,190325
1277,190338,31,190369
1278,190413,53,190466
1279,190637,135,190772
1280,190791,21,190812
1281,190826,36,190862
1282,191002,16,191018
1283,191059,24,191083
1284,191125,22,191147
1285,191216,3,191219
1286,191380,38,191418
1287,191479,56,191535
1288,191561,48,191609
1289,191631,5,191636
1290,191646,3,191649
1291,191707,25,191732
1292,191736,38,191774
1293,191902,37,191939
1294,192108,46,192154
1295,192258,17,192275
1296,192492,27,192519
1297,192538,4,192542
1298,192586,49,192635
1299,192674,101,192775
1300,192778,11,192789
1301,192870,39,192909
1302,192943,4,192947
1303,193070,14,193084
1304,193246,175,193421
1305,193462,29,193491
1306,193525,2,193527
1307,193571,15,193586
1308,193705,32,193737
1309,193808,54,193862
1310,193873,40,193913
1311,194220,7,194227
1312,194356,6,194362
1313,194434,123,194557
1314,194571,33,194604
1315,194687,8,194695
1316,194735,15,194750
1317,194784,37,194821
1318,194933,3,194936
1319,195378,10,195388
1320,195482,25,195507
1321,195664,4,195668
1322,195862,22,195884
1323,196028,34,196062
1324,196186,34,196220
1325,196459,59,196518
1326,196532,4,196536
1327,196540,2,196542
1328,196560,31,196591
1329,196826,6,196832
1330,196976,13,196989
1331,197034,98,197132
1332,197147,133,197280
1333,197309,3,197312
1334,197413,4,197417
1335,197538,16,197554
1336,197574,17,197591
1337,197622,46,197668
1338,197728,9,197737
1339,197798,55,197853
1340,197929,51,197980
1341,197990,4,197994
1342,198266,274,198540
1343,198750,33,198783
1344,198831,10,198841
1345,198846,21,198867
1346,198893,93,198986
1347,199102,15,199117
1348,199151,13,199164
1349,199857,35,199892
1350,199958,13,199971
1351,199987,24,200011
1352,200090,102,200192
1353,200207,42,200249
1354,200279,12,200291
1355,200356,2,200358
1356,200451,36,200487
1357,200558,16,200574
1358,200644,75,200719
1359,200802,13,200815
