,Start,Duration,End
760,93443,24,93467
761,93745,35,93780
762,94114,65,94179
763,94201,7,94208
764,94284,15,94299
765,94494,7,94501
766,94686,12,94698
767,95191,7,95198
768,95311,4,95315
769,95546,16,95562
770,95585,2,95587
771,95672,18,95690
772,95810,3,95813
773,95847,17,95864
774,95942,7,95949
775,95973,30,96003
776,96011,31,96042
777,96192,5,96197
778,96227,19,96246
779,96282,7,96289
780,96842,7,96849
781,96870,14,96884
782,96947,24,96971
783,96991,1,96992
784,97090,8,97098
785,97101,5,97106
786,97210,26,97236
787,97296,2,97298
788,97324,29,97353
789,97417,2,97419
790,97431,22,97453
791,97570,22,97592
792,97621,97,97718
793,97724,5,97729
794,97875,51,97926
795,98001,36,98037
796,98242,21,98263
797,98355,16,98371
798,98810,19,98829
799,98857,4,98861
800,98893,31,98924
801,98927,18,98945
802,99097,41,99138
803,99173,18,99191
804,99225,28,99253
805,99482,18,99500
806,99743,37,99780
807,99885,16,99901
808,100064,9,100073
809,100083,33,100116
810,100390,36,100426
811,100449,64,100513
812,100518,34,100552
813,100617,34,100651
814,100776,27,100803
815,100804,16,100820
816,100877,45,100922
817,100934,23,100957
818,101226,45,101271
819,101364,2,101366
820,101404,1,101405
821,101427,6,101433
822,101520,25,101545
823,101683,8,101691
824,101708,69,101777
825,101959,2,101961
826,101985,59,102044
827,102066,11,102077
828,102141,13,102154
829,102331,7,102338
830,102483,3,102486
831,102630,26,102656
832,102773,17,102790
833,103000,24,103024
834,103085,5,103090
835,103184,19,103203
836,103250,3,103253
837,103271,10,103281
838,103364,7,103371
839,103479,17,103496
840,103753,1,103754
841,103863,41,103904
842,103912,55,103967
843,104025,5,104030
844,104237,6,104243
845,104291,35,104326
846,104331,18,104349
847,104422,69,104491
848,104551,23,104574
849,104593,11,104604
850,104655,35,104690
851,104740,2,104742
852,104808,5,104813
853,105037,2,105039
854,105101,19,105120
855,105325,5,105330
856,105422,22,105444
857,105488,22,105510
858,105511,22,105533
859,105752,11,105763
860,106109,26,106135
861,106285,18,106303
862,106324,10,106334
863,106393,6,106399
864,106443,17,106460
865,106512,2,106514
866,106536,33,106569
867,106644,44,106688
868,106693,26,106719
869,106860,9,106869
870,106890,7,106897
871,107344,3,107347
872,107410,9,107419
873,107477,38,107515
874,107578,18,107596
875,107652,5,107657
876,107853,7,107860
877,107933,33,107966
878,108121,6,108127
879,108161,20,108181
880,108290,5,108295
881,108545,15,108560
882,108639,27,108666
883,108712,25,108737
884,108979,70,109049
885,109130,8,109138
886,109375,22,109397
887,109508,2,109510
888,109587,19,109606
889,109642,29,109671
890,109672,19,109691
891,109824,29,109853
892,109879,53,109932
893,109968,25,109993
894,110105,2,110107
895,110119,20,110139
896,110143,3,110146
897,110234,34,110268
898,110273,56,110329
899,110355,3,110358
900,110558,53,110611
901,110631,6,110637
902,110643,27,110670
903,110864,86,110950
904,110964,19,110983
905,111111,4,111115
906,111116,27,111143
907,111314,19,111333
908,111401,51,111452
909,111548,4,111552
910,111553,18,111571
911,111777,18,111795
912,111859,8,111867
913,111877,12,111889
914,112273,53,112326
915,112419,2,112421
916,112426,13,112439
917,112632,35,112667
918,112821,12,112833
919,112867,55,112922
920,113184,12,113196
921,113199,6,113205
922,113349,45,113394
923,113651,67,113718
924,113857,1,113858
925,113919,12,113931
926,114033,7,114040
927,114113,7,114120
928,114201,7,114208
929,114210,27,114237
930,114254,6,114260
931,114289,1,114290
932,114327,7,114334
933,114388,27,114415
934,114422,25,114447
935,114746,10,114756
936,114781,7,114788
937,114796,148,114944
938,115033,6,115039
939,115129,36,115165
940,115721,55,115776
941,115820,5,115825
942,115927,16,115943
943,115947,9,115956
944,116066,49,116115
945,116313,21,116334
946,116374,6,116380
947,116405,27,116432
948,116502,25,116527
949,116800,4,116804
950,117013,11,117024
951,117081,4,117085
952,117207,66,117273
953,117285,45,117330
954,117363,103,117466
955,117568,3,117571
956,117662,8,117670
957,117704,7,117711
958,117827,12,117839
959,117884,14,117898
960,117928,2,117930
961,117965,14,117979
962,118156,8,118164
963,118489,42,118531
964,118556,4,118560
965,118665,40,118705
966,118947,18,118965
967,119036,2,119038
968,119289,33,119322
969,119336,22,119358
970,119386,1,119387
971,119492,36,119528
972,119572,2,119574
973,119676,5,119681
974,119852,19,119871
975,120020,7,120027
976,120103,44,120147
977,120869,37,120906
978,120983,66,121049
979,121098,30,121128
980,121360,5,121365
981,121495,7,121502
982,121603,4,121607
983,121642,46,121688
984,121865,61,121926
985,121973,16,121989
986,122034,14,122048
987,122063,14,122077
988,122104,31,122135
989,122156,8,122164
990,122191,8,122199
991,122249,23,122272
992,122384,11,122395
993,122473,7,122480
994,122555,11,122566
995,122671,14,122685
996,122696,1,122697
997,122728,6,122734
998,122746,43,122789
999,122792,38,122830
1000,123012,11,123023
1001,123104,21,123125
1002,123181,4,123185
1003,123423,6,123429
1004,123483,40,123523
1005,123609,1,123610
1006,123678,6,123684
1007,123736,34,123770
1008,123837,35,123872
1009,124075,21,124096
1010,124136,12,124148
1011,124326,5,124331
1012,124353,23,124376
1013,124448,79,124527
1014,124610,15,124625
1015,124731,11,124742
1016,125110,6,125116
1017,125122,12,125134
1018,125150,6,125156
1019,125218,4,125222
1020,125236,10,125246
1021,125338,59,125397
1022,125582,4,125586
1023,125798,10,125808
1024,125919,16,125935
1025,125962,37,125999
1026,126080,29,126109
1027,126122,16,126138
1028,126139,15,126154
1029,126227,2,126229
1030,126430,23,126453
1031,126472,2,126474
1032,126476,21,126497
1033,126623,16,126639
1034,126730,6,126736
1035,126818,33,126851
1036,127031,35,127066
1037,127077,21,127098
1038,127231,8,127239
1039,127278,99,127377
1040,127423,9,127432
1041,127518,13,127531
1042,127641,10,127651
1043,127670,10,127680
1044,127717,17,127734
1045,127748,85,127833
1046,127993,29,128022
1047,128165,16,128181
1048,128192,28,128220
1049,128232,23,128255
1050,128384,6,128390
1051,128543,15,128558
1052,128633,44,128677
1053,128771,13,128784
1054,128809,44,128853
1055,129093,20,129113
1056,129243,6,129249
1057,129267,66,129333
1058,129393,1,129394
1059,129427,11,129438
1060,129615,31,129646
1061,129779,14,129793
1062,129867,2,129869
1063,129916,2,129918
1064,130033,38,130071
1065,130074,23,130097
1066,130334,2,130336
1067,130480,25,130505
1068,130624,59,130683
1069,130791,3,130794
1070,130903,6,130909
1071,131081,4,131085
1072,131223,49,131272
1073,131408,9,131417
1074,131520,19,131539
1075,131625,11,131636
1076,131691,6,131697
1077,131719,4,131723
1078,131794,11,131805
1079,131879,19,131898
1080,132275,15,132290
1081,132420,6,132426
1082,132587,14,132601
1083,132661,39,132700
1084,132776,49,132825
1085,132835,15,132850
1086,132927,3,132930
1087,132941,19,132960
1088,133094,11,133105
1089,133273,7,133280
1090,133500,29,133529
1091,133586,8,133594
1092,133744,10,133754
1093,133761,46,133807
1094,133866,8,133874
1095,134040,1,134041
1096,134045,18,134063
1097,134250,15,134265
1098,134320,37,134357
1099,134434,17,134451
1100,134637,29,134666
1101,134802,20,134822
1102,135047,2,135049
1103,135055,49,135104
1104,135106,9,135115
1105,135161,5,135166
1106,135193,3,135196
1107,135331,1,135332
1108,135339,7,135346
1109,135369,12,135381
1110,135425,11,135436
1111,135570,13,135583
1112,135613,7,135620
1113,135667,30,135697
1114,135893,8,135901
1115,135902,32,135934
1116,136063,26,136089
1117,136096,2,136098
1118,136125,21,136146
1119,136236,38,136274
1120,136353,90,136443
1121,136710,1,136711
1122,136752,21,136773
1123,137063,45,137108
1124,137127,16,137143
1125,137217,21,137238
1126,137296,59,137355
1127,137416,6,137422
1128,137718,29,137747
1129,137764,12,137776
1130,137870,15,137885
1131,137941,61,138002
1132,138227,12,138239
1133,138361,1,138362
1134,138433,15,138448
1135,138597,11,138608
1136,138641,3,138644
1137,138705,8,138713
1138,138806,31,138837
1139,138854,14,138868
1140,138942,37,138979
1141,139009,26,139035
1142,139351,25,139376
1143,139635,16,139651
1144,139734,9,139743
1145,139749,2,139751
1146,139791,7,139798
1147,139834,43,139877
1148,139964,24,139988
1149,140000,27,140027
1150,140098,43,140141
1151,140397,6,140403
1152,140430,3,140433
1153,140436,15,140451
1154,140489,33,140522
1155,140622,7,140629
1156,140888,33,140921
1157,140974,3,140977
1158,140983,11,140994
1159,141492,6,141498
1160,141525,13,141538
1161,141569,14,141583
1162,141631,69,141700
1163,141792,9,141801
1164,141832,16,141848
1165,142016,33,142049
1166,142071,17,142088
1167,142248,23,142271
1168,142273,22,142295
1169,142508,28,142536
1170,142613,7,142620
1171,142702,5,142707
1172,142834,25,142859
1173,142984,18,143002
1174,143053,14,143067
1175,143215,35,143250
1176,143325,22,143347
1177,143402,3,143405
1178,143433,1,143434
1179,143508,37,143545
1180,143697,2,143699
1181,143708,4,143712
1182,143851,6,143857
1183,143913,6,143919
1184,143968,8,143976
1185,144156,19,144175
1186,144302,42,144344
1187,144386,18,144404
1188,144483,8,144491
1189,144620,6,144626
1190,144905,10,144915
1191,144948,32,144980
1192,145049,18,145067
1193,145169,6,145175
1194,145298,33,145331
1195,145339,12,145351
1196,145632,20,145652
1197,145718,22,145740
1198,145962,3,145965
1199,145989,42,146031
1200,146288,5,146293
1201,146472,27,146499
1202,146631,5,146636
1203,146694,15,146709
1204,146802,3,146805
1205,146959,25,146984
1206,147194,2,147196
1207,147232,32,147264
1208,147307,9,147316
1209,147367,4,147371
1210,147384,23,147407
1211,147484,11,147495
1212,147538,36,147574
1213,147673,32,147705
1214,147837,26,147863
1215,147867,16,147883
1216,147990,78,148068
1217,148139,6,148145
1218,148257,14,148271
1219,148385,28,148413
1220,148426,8,148434
1221,148453,8,148461
1222,148521,28,148549
1223,148691,7,148698
1224,148724,3,148727
1225,148873,42,148915
1226,149179,20,149199
1227,149204,7,149211
1228,149246,17,149263
1229,149264,27,149291
1230,149380,5,149385
1231,149523,4,149527
1232,149544,23,149567
1233,149806,13,149819
1234,149984,30,150014
1235,150193,1,150194
1236,150209,29,150238
1237,150325,11,150336
1238,150536,17,150553
1239,150678,29,150707
1240,150799,1,150800
1241,150933,34,150967
1242,151010,18,151028
1243,151046,14,151060
1244,151459,5,151464
1245,151489,11,151500
1246,151515,4,151519
1247,151567,52,151619
1248,151638,10,151648
1249,151879,3,151882
1250,151934,17,151951
1251,152082,4,152086
1252,152104,19,152123
1253,152195,15,152210
1254,152228,20,152248
1255,152378,7,152385
1256,152390,25,152415
1257,152577,4,152581
1258,152611,20,152631
1259,152669,8,152677
1260,152689,25,152714
1261,152738,19,152757
1262,153066,42,153108
1263,153134,6,153140
1264,153163,11,153174
1265,153317,14,153331
1266,153401,4,153405
1267,153428,29,153457
1268,153642,11,153653
1269,153827,15,153842
1270,153896,1,153897
1271,154039,5,154044
1272,154081,5,154086
1273,154112,5,154117
1274,154376,66,154442
1275,154613,16,154629
1276,154666,49,154715
1277,154791,3,154794
1278,154965,19,154984
1279,155237,13,155250
1280,155329,4,155333
1281,155496,9,155505
1282,155514,1,155515
1283,155630,18,155648
1284,155854,18,155872
1285,155920,2,155922
1286,155970,1,155971
1287,156416,26,156442
1288,156484,6,156490
1289,156579,5,156584
1290,156819,11,156830
1291,156895,11,156906
1292,157094,17,157111
1293,157135,2,157137
1294,157144,4,157148
1295,157179,12,157191
1296,157200,16,157216
1297,157397,38,157435
1298,157810,11,157821
1299,157917,56,157973
1300,158006,11,158017
1301,158404,7,158411
1302,158452,1,158453
1303,158459,10,158469
1304,158545,13,158558
1305,158690,5,158695
1306,158698,6,158704
1307,158773,36,158809
1308,158899,26,158925
1309,158998,22,159020
1310,159132,26,159158
1311,159221,4,159225
1312,159358,11,159369
1313,159593,96,159689
1314,159727,16,159743
1315,159760,14,159774
1316,159874,30,159904
1317,159917,24,159941
1318,159967,1,159968
1319,159985,32,160017
1320,160101,9,160110
1321,160120,5,160125
1322,160349,22,160371
1323,160376,8,160384
1324,160413,16,160429
1325,160550,5,160555
1326,160645,9,160654
1327,160656,6,160662
1328,160942,10,160952
1329,160997,41,161038
1330,161068,12,161080
1331,161175,8,161183
1332,161265,1,161266
1333,161364,26,161390
1334,161438,4,161442
1335,161491,30,161521
1336,161628,21,161649
1337,161711,22,161733
1338,161928,24,161952
1339,162051,1,162052
1340,162324,18,162342
1341,162393,15,162408
1342,162653,20,162673
1343,162696,11,162707
1344,162718,1,162719
1345,162766,7,162773
1346,162786,10,162796
1347,162823,22,162845
1348,162905,13,162918
1349,163118,26,163144
1350,163154,4,163158
1351,163206,5,163211
1352,163312,2,163314
1353,163414,1,163415
1354,163468,16,163484
1355,163536,4,163540
1356,163587,17,163604
1357,163652,40,163692
1358,163699,14,163713
1359,163716,19,163735
